1.000000 1.000000
1.100000 1.163333
1.200000 1.320000
1.300000 1.470000
1.400000 1.613333
1.500000 1.750000
1.600000 1.880000
1.700000 2.003333
1.800000 2.120000
1.900000 2.230000
2.000000 2.333333
2.100000 2.430000
2.200000 2.520000
2.300000 2.603333
2.400000 2.680000
2.500000 2.750000
2.600000 2.813333
2.700000 2.870000
2.800000 2.920000
2.900000 2.963333
3.000000 3.000000
3.100000 3.030000
3.200000 3.053333
3.300000 3.070000
3.400000 3.080000
3.500000 3.083333
3.600000 3.080000
3.700000 3.070000
3.800000 3.053333
3.900000 3.030000
4.000000 3.000000
4.100000 2.963333
4.200000 2.920000
4.300000 2.870000
4.400000 2.813333
4.500000 2.750000
4.600000 2.680000
4.700000 2.603333
4.800000 2.520000
4.900000 2.430000
5.000000 2.333333
5.100000 2.230000
5.200000 2.120000
5.300000 2.003333
5.400000 1.880000
5.500000 1.750000
5.600000 1.613333
5.700000 1.470000
5.800000 1.320000
5.900000 1.163333
6.000000 1.000000
